id,socket,cores,smt,integrated_gpu,tdp_w,st_perf,mt_perf,core_clock,boost_clock,product_fk
1,AM4,4,false,false,65,821,2680,3.1,3.4,1
2,AM4,4,true,false,65,1125,4689,3.6,3.9,2
3,AM4,4,false,true,65,880,2877,3.6,4,3
4,AM4,6,true,false,65,898,4913,3.2,3.6,4
5,AM4,6,true,false,65,968,5264,3.4,3.9,5
6,AM4,6,true,false,95,1041,5666,3.6,4.2,6
7,AM4,4,true,true,65,932,3609,3.7,4.2,7
8,AM4,6,false,false,65,1180,5209,3.6,4.1,8
9,AM4,6,true,false,65,1206,6688,3.6,4.2,9
10,AM4,6,true,false,95,1248,6898,3.8,4.4,10
11,AM4,6,true,false,95,1309,7100,3.8,4.5,11
12,AM4,6,true,false,65,1619,8193,3.7,4.6,12
13,AM4,8,true,false,65,931,6116,3.2,4.1,13
14,AM4,8,true,false,105,1042,6866,3.7,4.3,14
15,AM4,8,true,false,65,1256,8456,3.6,4.4,15
16,AM4,8,true,false,105,1292,8910,3.9,4.5,16
17,AM4,8,true,false,105,1345,9006,3.9,4.7,17
18,AM4,8,true,false,105,1677,10452,3.8,4.7,18
19,AM4,12,true,false,105,1282,11819,3.8,4.6,19
20,AM4,12,true,false,105,1322,12000,3.8,4.7,20
21,AM4,16,true,false,105,1300,14198,3.5,4.7,21
22,AM4,12,true,false,105,1674,14253,3.7,4.8,22
23,AM4,16,true,false,105,1700,17012,3.4,4.9,23
24,sTRX4,24,true,false,280,1274,19928,3.8,4.5,24
25,sTRX4,32,true,false,280,1261,22397,3.7,4.5,25
26,sTRX4,64,true,false,280,1207,24916,2.9,4.3,26
27,LGA1200,2,false,true,58,824,1577,3.4,,27
28,LGA1200,2,false,true,58,850,1717,3.5,,28
29,LGA1200,4,true,true,65,1101,4052,3.6,4.3,29
30,LGA1200,4,true,false,65,1098,4053,3.6,4.3,30
31,LGA1200,4,true,true,65,1184,4671,3.7,4.4,31
32,LGA1200,4,true,true,65,1235,4728,3.8,4.6,32
33,LGA1151,4,false,true,65,1065,3322,3.6,4.2,33
34,LGA1151,4,false,false,65,1033,3172,3.6,4.2,34
35,LGA1151,4,false,true,91,1259,4152,4,4.6,35
36,LGA1151,4,false,false,91,1259,4152,4,4.6,36
37,LGA1200,6,true,true,65,1114,5640,2.9,4.3,37
38,LGA1200,6,true,false,65,1111,5771,2.9,4.3,38
39,LGA1200,6,true,true,65,1177,5926,3.1,4.5,39
40,LGA1200,6,true,true,65,1246,6219,3.3,4.8,40
41,LGA1200,6,true,true,125,1311,6974,4.1,4.8,41
42,LGA1200,6,true,false,125,1324,7150,4.1,4.8,42
43,LGA1200,6,true,true,65,1440,6403,2.6,4.4,43
44,LGA1200,6,true,false,65,1564,7559,2.6,4.4,44
45,LGA1200,6,true,true,65,1607,7169,2.7,4.6,45
46,LGA1200,6,true,true,125,1691,8036,3.9,4.9,46
47,LGA1200,6,true,false,125,1674,7860,3.9,4.9,47
48,LGA1151,6,false,true,65,1055,4564,2.9,4.1,48
49,LGA1151,6,false,false,65,1063,4600,2.9,4.1,49
50,LGA1151,6,false,true,65,1119,4679,3,4.4,50
51,LGA1151,6,false,false,65,1119,4679,3,4.4,51
52,LGA1151,6,false,true,65,1205,5066,3.1,4.6,52
53,LGA1151,6,false,true,95,1248,5613,3.7,4.6,53
54,LGA1151,6,false,false,95,1245,5612,3.7,4.6,54
55,LGA1200,8,true,true,65,1262,7772,2.9,4.8,55
56,LGA1200,8,true,false,65,1265,7897,2.9,4.8,56
57,LGA1200,8,true,true,125,1342,8913,3.8,5.1,57
58,LGA1200,8,true,false,125,1326,8613,3.8,5.1,58
59,LGA1200,8,true,true,65,1652,8341,2.5,4.9,59
60,LGA1200,8,true,false,65,1652,8341,2.5,4.9,60
61,LGA1200,8,true,true,125,1683,9092,3.6,5,61
62,LGA1200,8,true,false,125,1803,11041,3.6,5,62
63,LGA1151,8,false,true,65,1198,6374,3,4.7,63
64,LGA1151,8,false,false,65,1205,6485,3,4.7,64
65,LGA1151,8,false,true,95,1284,7218,3.6,4.9,65
66,LGA1151,8,false,false,95,1290,7162,3.6,4.9,66
67,LGA1200,10,true,true,125,1366,10582,3.6,5.2,67
68,LGA1200,10,true,true,125,1327,14198,3.6,5.2,68
69,LGA1200,10,true,true,65,1321,9351,2.8,5.2,69
70,LGA1200,10,true,false,65,1324,9483,2.8,5.2,70
71,LGA1200,10,true,true,125,1397,10859,3.7,5.3,71
72,LGA1200,10,true,false,125,1376,10770,3.7,5.3,72
73,LGA2066,10,true,false,165,1159,10592,3.7,4.7,73
74,LGA2066,12,true,false,165,1209,12763,3.5,4.8,74
75,LGA2066,14,true,false,165,1155,13213,3.3,4.8,75
76,LGA2066,18,true,false,165,1167,16039,3,4.8,76
77,LGA1200,8,true,true,65,1714,8530,2.5,5.2,77
78,LGA1200,8,true,false,65,1725,9204,2.5,5.2,78
79,LGA1200,8,true,true,125,1757,10172,3.5,5.3,79
80,LGA1151,8,true,true,65,1249,7664,3.1,5,80
81,LGA1151,8,true,true,95,1316,8602,3.6,5,81
82,LGA1151,8,true,false,95,1325,8670,3.6,5,82
83,LGA1200,2,true,true,58,1033,2269,4,,83
84,LGA1200,2,true,true,58,1082,2303,4.1,,84
85,LGA1200,2,true,true,58,1089,2283,4.2,,85